[[ 512.38214  302.02475]]

 [[ 633.8598   301.62384]]

 [[ 755.14075  300.42215]]

 [[ 876.5906   299.90628]]

 [[ 998.28314  299.02625]]

 [[1120.9021   297.61386]]

 [[1243.8971   297.08145]]

 [[1367.4908   295.188  ]]

 [[1492.5131   293.7391 ]]

 [[ 515.20215  424.41177]]

 [[ 636.0737   423.41083]]

 [[ 756.58044  423.1225 ]]

 [[ 877.7918   422.25314]]

 [[ 998.8418   421.4008 ]]

 [[1120.677    420.64462]]

 [[1242.751    419.93045]]

 [[1366.276    418.73114]]

 [[1489.9991   417.6788 ]]

 [[ 517.7169   545.2474 ]]

 [[ 637.8902   544.71747]]

 [[ 757.97363  544.0663 ]]

 [[ 878.7004   543.07416]]

 [[ 999.59204  542.50867]]

 [[1120.7253   542.22406]]

 [[1242.486    541.5798 ]]

 [[1365.0978   540.94745]]

 [[1488.5311   540.21387]]

 [[ 519.8469   665.7482 ]]

 [[ 639.7213   664.60693]]

 [[ 759.40625  664.4257 ]]

 [[ 879.35297  663.7262 ]]

 [[1000.2506   663.20245]]

 [[1120.8396   662.84705]]

 [[1241.99     662.71484]]

 [[1363.9664   662.4687 ]]

 [[1486.9469   662.59314]]

 [[ 522.29956  784.6236 ]]

 [[ 641.19135  784.5089 ]]

 [[ 760.5901   783.5462 ]]

 [[ 880.2956   783.50604]]

 [[1000.5744   783.303  ]]

 [[1120.9259   783.2436 ]]

 [[1241.9435   783.02606]]

 [[1363.042    783.3227 ]]

 [[1486.405    783.44525]]

 [[ 524.19574  903.3954 ]]

 [[ 643.1713   902.77496]]

 [[ 762.1345   902.9347 ]]

 [[ 881.25946  902.4992 ]]

 [[1000.6842   903.0026 ]]

 [[1121.0391   902.6713 ]]

 [[1241.3424   903.03284]]

 [[1363.0702   903.2801 ]]

 [[1484.9752   904.1167 ]]]
